type,x1,y1,x2,y2,Note
Wall,240,223.5,240,189.5,cabaret room hall of mirrors
Wall,240,232,240,228.5,
Wall,240,239.5,240,237.5,
Wall,240,324.5,240,328.5,
Wall,240,325,240,329,
Wall,240.5,143,240,136.5,
Wall,240.5,329,295.5,329,top wall cabaret room
Wall,241.5,66,243,59,wall from zebra into viennese
Wall,242,143,242,153.5,viennese mens room left wall
Wall,243.5,134.5,246.5,134.5,viennese room north wall
door,246.5,134.5,253,134.5,viennese room door to restroom hall
Wall,247.5,143,240.5,143,
door,251,139,247.5,143,mens room door
Wall,253,134.5,275.5,134.5,viennese room north wall center
Wall,254.5,183,275.5,183,
door,261,352,267,352,zebra door
door,267,134.5,267,139,viennese ladies room
Wall,267,139,251,139,ladies room hall
Wall,273.5,329,273.5,334,cabaret room portico
Wall,273.5,334,293.5,334,cabaret room portico
door,275.5,134.5,281,134.5,viennese room door to storage?
Wall,275.5,183,281,178.5,
Wall,280.5,38,280.5,153.5,inside wall on Viennese room
door,280.5,102,280.5,95,viennese room door to exit corridor
Wall,281,94,281,37.5,
Wall,281,178.5,281,101,
Exit,286,130.5,293.5,130.5,V
Wall,288.5,189.5,300,222.5,cabaret back hall
Wall,291,328,293,321,cabaret bar
Wall,291.5,304.5,295.5,290.5,
Wall,293,189,301,189,cabaret dressing room hall
stair,293.5,130.5,285.5,139.5,back of viennese room
Exit,294.5,334,302,334,C
door,295,328.5,300.5,328.5,cabaret room north portico door
Wall,295,313.5,316,313.5,cabaret bar
Wall,295.5,290.5,300,291,
Exit,297,173,301,173.5,S
stair,297,178,301,173.5,cabaret east exit stairs
Wall,297,182.5,287,182.5,cabaret room south wall
stair,297.5,234.5,302,229,stage stairs south
stair,297.5,286.5,302,282,stage stairs north
Wall,298.5,313,300.5,309,
Wall,300,291,302,282,cabaret room walls
Wall,300,291,296,308,
door,300.5,309,301.5,305.5,
Wall,300.5,326,304,326,cabaret room bar
Wall,301,189,301,214,cabaret dressing room hall
Wall,301,214,309.5,214,cabaret dressing room hall
Wall,301.5,214.5,292,189.5,Carabet back hall
Wall,301.5,305.5,303.5,295,
Wall,301.5,206.5,309.5,206.5,cabaret dressing room hall
Wall,301.5,330.5,300.5,326,cabaret room bar
Wall,302,277.5,312,277.5,backstage wall north
Wall,302,282,315.5,282,mens room south wall
Wall,303,334,310.5,334,cabaret room portico
Wall,303.5,295,316.5,293.5,ladies room
door,303.5,295,299.5,292.5,mens room door
Wall,304.5,328.5,316.5,328.5,top wall cabaret room
Wall,309.5,214,309.5,209,cabaret dressing room hall
Wall,310.5,328.5,310.5,334,cabaret room portico east wall
Wall,310.5,334,310.5,329,cabaret room portico
Wall,311.5,238,301.5,238,backstage wall south
Wall,312,277.5,311.5,238,backstage wall east
Wall,313.5,206.5,316.5,206.5,cabaret dressing room hall
Wall,316,183,301,183,cabaret room south wall
Wall,316,183,316,328.5,cabaret room east wall
Exit,52,258,48,248,K
