x,y,age,sex,prior_visit,behavior_type,group_number,group_type,group_leader,initial_energy,ID,role,exit,prompt,table,party,turned back x,turned back y,starting room,ids employees y/n,employee location x1,employee location y1,took,note
262,317,,,TRUE,,221,4,,100,s220,non-tipped,,,,,-40,504,cabaret room,,,,,
254,211,,,FALSE,,,,,100,g? [cut off],patron,GC,,,,,,cabaret room,,,,,
267,242,,,FALSE,,,,,100,b207,patron,GC,,,,,,cabaret room,,,,,
266,285,,female,FALSE,,148,4,,100,?105,patron,K,,,,-40,504,cabaret room,,,,,
269,313,,,FALSE,,104,4,,100,h137,patron,,,,,-40,504,cabaret room,,,,,
260,258,,,FALSE,,104,4,,100,h138,patron,,,,,-40,504,cabaret room,,,,,
262,320,,male,FALSE,,,,,100,b82,patron,GC,,,,,,cabaret room,,,,,
250,258,,,FALSE,,,,,100,b8? [faded/cut off],patron,GC,,,,,,cabaret room,,,,,
264,276,,female,TRUE,,,,,100,s88,non-tipped,S,,,,,,cabaret room,,,,,
153,108,,male,FALSE,,54,4,,100,?25,patron,C,,,,,,Foyer,,,,,
261,324,,,TRUE,,,,,100,h123,non-tipped,,,,,-40,504,cabaret room,,,,,
255,289,,,FALSE,,8,4,,100,a23,patron,,,,,-40,504,cabaret room,,,,,
255,275,,,FALSE,,8,4,,100,a24,patron,,,,,-40,504,cabaret room,,,,,
261,213,,,FALSE,,17,4,,100,b125,patron,S,,,,,,cabaret room,,,,,
282,208,,,FALSE,,17,4,,100,b126,patron,S,,,,,,cabaret room,,,,,
265,304,,,FALSE,,48,4,,100,c74,patron,S,,,,,,cabaret room,,,,,
266,293,,,FALSE,,48,4,,100,c75,patron,S,,,,,,cabaret room,,,,,
275,320,,,FALSE,,,,,100,c7? [cut off],patron,GC,,,,,,cabaret room,,,,,
250,261,,,FALSE,,68,4,,100,e28,patron,S,,,,,,cabaret room,,,,,
267,244,,,FALSE,,68,4,,100,e29,patron,S,,,,,,cabaret room,,,,,
267,234,,,TRUE,,89,4,,100,g64,tipped staff,C,,,,,,cabaret room,,,,,
266,266,,,TRUE,,89,4,,100,g65,tipped staff,C,,,,,,cabaret room,,,,,
254,217,,,FALSE,,124,4,,100,k65,patron,C,,,,,,cabaret room,,,,,
275,235,,,FALSE,,124,4,,100,k65-a,patron,C,,,,,,cabaret room,,,,,
268,299,,,TRUE,,,,,100,k74,non-tipped,GC,,,,,,cabaret room,,,,,
278,278,,,TRUE,,126,4,,100,k75,non-tipped,S,,,,,,cabaret room,,,,,
271,309,,,TRUE,,126,4,,100,k76,non-tipped,S,,,,,,cabaret room,,,,,
270,246,,,FALSE,,,,,100,m69,patron,S,,,,,,cabaret room,,,,,
257,240,,,FALSE,,,,,100,m71,patron,S,,,,,,cabaret room,,,,,
246,311,,,FALSE,,,,,100,m73,patron,C,,,,,,cabaret room,,,,,
276,276,,,FALSE,,173,4,,100,n70,patron,S,,,,,,cabaret room,,,,,
262,288,,,FALSE,,173,4,,100,n71,patron,S,,,,,,cabaret room,,,,,
278,301,,,TRUE,,199,4,,100,r64,tipped staff,C,,,,,,cabaret room,,,,,
264,303,,,TRUE,,199,4,,100,r65,tipped staff,C,,,,,,cabaret room,,,,,
258,265,,,FALSE,,212,4,,100,s164,patron,C,,,,,,cabaret room,,,,,
254,262,,,FALSE,,212,4,,100,s165,patron,C,,,,,,cabaret room,,,,,
263,207,,,FALSE,,,,,100,s239,patron,S,,,,,,cabaret room,,,,,
276,267,,,TRUE,,235,4,,100,v22,non-tipped,C,,,,,,cabaret room,,,,,
253,306,,,TRUE,,235,4,,100,v23,non-tipped,C,,,,,,cabaret room,,,,,
292,315.5,,,FALSE,,241,4,,100,w36,patron,C,,,,,,cabaret room,,,,,
264,314,,,FALSE,,241,4,,100,w37,patron,C,,,,,,cabaret room,,,,,
277,216,,,FALSE,,241,4,,100,w38,patron,C,,,,,,cabaret room,,,,,
280,241,,,FALSE,,,,,100,w43,patron,C,,,,,,cabaret room,,,,,
248,228,,,FALSE,,253,4,,100,w74,patron,S,,,,,,cabaret room,,,,,
247,288,,,FALSE,,253,4,,100,w75,patron,S,,,,,,cabaret room,,,,,
250,276,,,FALSE,,1,4,,100,?211,patron,GC,,,,,,cabaret room,,,,,
263,248,,,FALSE,,1,4,,100,?211-a,patron,GC,,,,,,cabaret room,,,,,
270,259,,,FALSE,,5,4,,100,a13,patron,C,,,,,,cabaret room,,,,,
267,231,,,FALSE,,5,4,,100,a14,patron,C,,,,,,cabaret room,,,,,
252,222,,,FALSE,,6,4,,100,a18,patron,GC,,,,,,cabaret room,,,,,
279,224,,,FALSE,,6,4,,100,a19,patron,GC,,,,,,cabaret room,,,,,
270,213,,,FALSE,,7,4,,100,a20,patron,S,,,,,,cabaret room,,,,,
280,319,,,FALSE,,7,4,,100,a20-a,patron,S,,,,,,cabaret room,,,,,
274,285,,,FALSE,,9,4,,100,a27,patron,C,,,,,,cabaret room,,,,,
245,247,,,FALSE,,9,4,,100,a27-a,patron,C,,,,,,cabaret room,,,,,
271,258,,,FALSE,,11,4,,100,a43,patron,C,,,,,,cabaret room,,,,,
254,219,,,FALSE,,11,4,,100,a44,patron,C,,,,,,cabaret room,,,,,
246,241,,,FALSE,,36,4,,100,b90,patron,S,,,,240,260,cabaret room,,,,,
280,267,,,FALSE,,36,4,,100,b91,patron,S,,,,240,260,cabaret room,,,,,
260,222,,,FALSE,,37,4,,100,b93,patron,GC,,,,,,cabaret room,,,,,
269,238,,,FALSE,,37,4,,100,b94,patron,GC,,,,,,cabaret room,,,,,
261,288,,,FALSE,,12,4,,100,b100,patron,S,,,,,,cabaret room,,,,,
282,206,,,FALSE,,12,4,,100,b101,patron,S,,,,,,cabaret room,,,,,
269,315,,,FALSE,,13,4,,100,b102,patron,S,,,,275,262.5,cabaret room,,,,,
265,236,,,FALSE,,13,4,,100,b103,patron,S,,,,275,262.5,cabaret room,,,,,
278,307,,,FALSE,,,,,100,b108,patron,C,,,,,,cabaret room,,,,,
278,234,,,FALSE,,14,4,,100,b110?,patron,C,,,,,,cabaret room,,,,,
277,269,,,FALSE,,14,4,,100,b111,patron,C,,,,,,cabaret room,,,,,
281,250,,,FALSE,,15,4,,100,b113,patron,C,,,,,,cabaret room,,,,,
250,223,,,FALSE,,15,4,,100,b114,patron,C,,,,,,cabaret room,,,,,
