x,y,age,sex,prior_visit, behavior_type, group_number, group_type, group_leader,initial_energy,x10,y10
23,6,31,male,FALSE,8,58,2,0,107,230,60
23,13.5,38,male,TRUE,6,58,2,0,141,230,135
24,7,44,female,TRUE,3,58,2,0,117,240,70
26,14,42,male,FALSE,5,58,3,0,128,260,140
22.5,11,30,female,FALSE,3,58,5,1,142,225,110
21.5,10.5,0,female,TRUE,4,59,3,0,82,215,105
21,10,31,male,FALSE,6,59,3,1,157,210,100
17,9,0,male,FALSE,7,60,2,0,154,170,90
17,10,27,male,TRUE,6,60,2,1,81,170,100
25.5,7,25,male,TRUE,6,60,4,0,104,255,70
21,6,25,male,TRUE,7,60,5,0,123,210,60
24,6.5,30,male,TRUE,8,61,2,0,146,240,65
23.5,7.5,37,male,TRUE,7,61,2,1,137,235,75
18,6.5,39,male,TRUE,6,63,2,1,92,180,65
20,9.5,39,male,FALSE,6,63,2,0,120,200,95
16,9,22,male,FALSE,5,64,1,1,113,160,90
7,1.5,28,male,TRUE,6,64,1,0,140,70,15
22,14,40,male,FALSE,7,64,1,0,100,220,140
7,3,0,female,FALSE,2,64,1,0,114,70,30
7,2,0,male,TRUE,5,64,1,0,118,70,20
7,2.5,24,male,TRUE,5,64,1,0,131,70,25
26.5,7,41,female,TRUE,3,65,4,0,128,265,70
26,9,33,female,TRUE,1,65,4,1,126,260,90
18,7,0,male,FALSE,6,66,2,0,131,180,70
16.5,7,0,male,TRUE,8,66,2,1,103,165,70
22.5,7.5,28,male,TRUE,8,67,2,0,101,225,75
17,7,25,male,TRUE,5,67,2,1,96,170,70
15.5,19,0,male,FALSE,6,68,2,0,90,155,190
14.5,9,29,male,FALSE,6,68,2,0,153,145,90
14.5,9.5,27,male,FALSE,8,68,2,0,113,145,95
14,9.5,0,male,TRUE,5,68,2,1,98,140,95
16,12,0,male,FALSE,7,69,2,1,87,160,120
8.5,2,25,male,FALSE,7,69,2,0,120,85,20
9,1,31,male,FALSE,6,70,1,1,136,90,10
9,2,57,male,FALSE,8,70,1,0,101,90,20
22.5,8.5,33,male,TRUE,7,71,0,1,82,225,85
20,0.75,20,female,FALSE,4,72,4,1,127,200,7.5
20.5,2,49,male,FALSE,6,72,4,0,133,205,20
20.5,1.5,0,female,TRUE,3,72,4,0,133,205,15
21.5,2.75,30,male,FALSE,7,72,4,0,118,215,27.5
15.5,12,0,male,TRUE,8,73,3,1,109,155,120
16,10.5,0,female,TRUE,4,73,3,0,97,160,105
16,11.5,27,female,FALSE,1,73,5,0,111,160,115
24,8,38,male,FALSE,5,74,3,1,121,240,80
25.5,7.5,35,female,TRUE,3,74,3,0,98,255,75
25.5,9.5,34,male,TRUE,8,75,2,1,114,255,95
26,13.5,33,male,FALSE,7,75,2,0,139,260,135
24.5,12.5,31,male,FALSE,7,76,0,1,82,245,122
20,11,26,male,FALSE,5,77,2,1,110,200,110
22.5,8,25,male,FALSE,8,77,2,0,101,225,80
8,2.5,0,male,TRUE,5,78,2,0,154,80,25
18,11,0,male,FALSE,7,78,2,1,89,180,110
18.5,11,40,male,FALSE,8,79,2,1,159,185,110
20.5,6,36,male,FALSE,8,79,2,0,88,205,60
19.5,3.6,38,male,TRUE,6,79,2,0,101,195,36
24,12.5,42,female,FALSE,3,80,2,0,145,240,122
23,12.5,28,female,FALSE,3,80,2,1,83,230,122
12,2,36,male,FALSE,6,81,1,1,129,120,20
12.5,2.5,19,male,FALSE,7,81,1,0,118,125,25
20,6.5,35,male,FALSE,7,81,1,0,117,200,65
12.5,2,39,male,FALSE,7,81,1,0,82,125,20
15,16.3,26,female,FALSE,1,81,1,0,90,150,163
14.6,16.3,25,female,FALSE,3,81,4,0,84,146,163
18.5,15.5,38,male,TRUE,5,81,4,0,159,185,155
8,1.5,31,male,FALSE,7,81,5,0,129,80,15
27,4,0,male,TRUE,7,82,2,0,143,270,40
18.5,6.5,23,male,TRUE,8,82,2,0,103,185,65
18,5.5,24,male,TRUE,7,82,2,1,116,180,55
26,6,0,male,TRUE,6,83,0,1,112,260,60
21,7.5,32,male,TRUE,7,84,5,0,153,210,75
16.5,11.5,39,male,TRUE,8,84,5,1,116,165,115
20.5,7.5,37,female,FALSE,4,84,5,0,149,205,75
21.5,6.5,40,male,TRUE,6,84,5,0,119,215,65
24.5,8.5,0,female,FALSE,1,85,5,0,132,245,85
20,8,31,male,FALSE,7,85,5,0,90,200,80
20,5.5,27,male,TRUE,5,85,5,1,154,200,55
24,7.5,27,male,FALSE,6,85,5,0,98,240,75
21.5,8.5,24,female,FALSE,4,85,5,0,156,215,85
23.5,8,0,male,TRUE,7,86,5,0,125,235,80
20,10.5,32,male,TRUE,8,86,5,1,92,200,105
21.5,5.5,35,male,TRUE,7,86,5,0,89,215,55
22,10,34,female,TRUE,1,87,4,1,123,220,100
23,12,35,male,TRUE,7,87,4,0,110,230,120
25.5,11.5,33,male,TRUE,6,89,0,1,82,255,115
16,10,31,male,FALSE,5,91,2,1,138,160,100
22.5,12,27,male,TRUE,8,91,2,0,145,225,120
11,2.5,0,male,TRUE,8,92,2,1,90,110,25
15,12,21,male,TRUE,8,93,1,0,108,150,120
15,11.5,37,male,TRUE,6,93,1,1,119,150,115
23,7,27,male,FALSE,7,94,0,1,117,230,70
25,4,0,male,TRUE,6,95,0,1,111,250,40
23.5,13,37,female,FALSE,3,96,0,1,159,235,130
25,7.5,22,male,FALSE,6,97,2,0,94,250,75
25,8,25,male,TRUE,7,97,2,0,97,250,80
18,11.5,25,male,TRUE,8,97,2,1,90,180,115
13,2,0,male,FALSE,5,98,2,0,80,130,20
13,1.5,25,male,FALSE,7,98,2,1,111,130,15
13,2.5,23,male,TRUE,8,98,2,0,80,130,25
22,14.5,37,male,FALSE,7,99,2,1,105,220,145
25.5,11,37,male,FALSE,8,99,2,0,85,255,110
12.5,10.5,27,male,TRUE,7,101,3,1,146,125,105
12.5,11,37,female,FALSE,4,101,3,0,87,125,110
18.5,12,38,male,TRUE,5,102,0,1,91,185,120
24.5,12,29,male,FALSE,5,103,2,1,125,245,120
25,10.5,30,male,TRUE,8,103,2,0,123,250,105
16,6,34,female,FALSE,1,104,4,1,147,160,60
16,6.5,31,male,FALSE,5,104,4,0,145,160,65
14,3.5,36,male,TRUE,6,106,2,1,81,140,35
14,4,0,male,TRUE,7,106,2,0,152,140,40
18.5,0.75,33,female,TRUE,2,107,1,1,120,185,7.5
19,0.75,31,female,TRUE,1,107,1,0,152,190,7.5
16,8.5,30,male,FALSE,5,108,0,1,143,160,85
22.5,10,26,male,FALSE,5,109,5,1,131,225,100
22.5,6,31,female,FALSE,4,109,5,0,139,225,60
22.5,5.5,33,male,FALSE,8,109,5,0,80,225,55
20.5,9.5,22,male,FALSE,6,110,2,0,112,205,95
21,9.5,25,female,FALSE,1,110,2,0,120,210,95
20.5,12,23,male,FALSE,5,110,2,0,141,205,120
21.5,13.5,21,female,FALSE,3,110,2,0,90,215,135
18.5,9,22,male,FALSE,8,110,2,1,149,185,90
26.5,6.5,29,female,TRUE,3,110,2,0,119,265,65
21.5,14,26,female,TRUE,1,110,2,0,123,215,140
21,12,21,male,TRUE,7,110,5,0,145,210,120
23,5.5,21,female,FALSE,4,110,5,0,98,230,55
21,12.5,37,male,FALSE,5,111,4,1,105,210,122
21,13,33,female,FALSE,1,111,4,0,90,210,130
24,9.5,21,male,FALSE,7,112,1,0,106,240,95
24,5.5,19,male,FALSE,8,112,1,1,120,240,55
22.5,14.5,37,female,FALSE,1,113,3,0,145,225,145
23.5,14,42,male,TRUE,5,113,3,0,88,235,140
22,7,33,female,FALSE,4,113,3,0,88,220,70
16,7,37,male,TRUE,8,113,5,1,117,160,70
22.5,14,27,female,FALSE,3,113,5,0,132,225,140
26.5,5.5,42,female,TRUE,3,114,0,1,125,265,55
22.5,6.5,0,female,TRUE,2,115,3,1,117,225,65
22.5,9,0,male,TRUE,7,115,3,0,135,225,90
15.5,18.5,46,male,FALSE,6,116,2,1,87,155,185
21.5,7.5,0,male,FALSE,8,116,2,0,122,215,75
8.5,2.5,0,male,FALSE,7,116,2,0,101,85,25
17,11,37,female,FALSE,1,118,4,1,121,170,110
17,11.5,40,male,FALSE,7,118,4,0,84,170,115
22,6,0,female,TRUE,3,119,0,1,154,220,60
24.5,8,47,female,TRUE,1,120,0,1,139,245,80
21,2.75,41,male,TRUE,6,121,0,1,138,210,27.5
21.5,8,33,female,FALSE,2,122,2,0,113,215,80
21.5,11,32,male,TRUE,8,122,2,1,131,215,110
7.5,2.5,33,male,TRUE,7,123,0,1,102,75,25
23.5,12.5,37,female,FALSE,2,124,3,1,140,235,122
24.5,13,37,male,FALSE,8,124,3,0,144,245,130
26.5,11,0,female,FALSE,3,125,4,0,88,265,110
24.5,10.5,28,male,FALSE,7,125,4,1,91,245,105
26,11.5,39,female,FALSE,2,125,4,0,157,260,115
26.5,9.5,39,male,FALSE,6,126,3,0,153,265,95
26.5,10.5,44,female,TRUE,1,126,3,1,133,265,105
24.5,5.5,33,female,TRUE,3,127,2,0,80,245,55
21.5,6,25,female,TRUE,2,127,2,1,84,215,60
24.5,6,24,female,TRUE,1,127,5,0,144,245,60
9.5,2.5,36,female,FALSE,4,129,3,0,106,95,25
9.5,1,35,male,FALSE,5,129,3,1,104,95,10
25,5.5,22,male,TRUE,7,130,0,1,147,250,55
22,9,29,female,TRUE,1,131,3,1,157,220,90
9.5,1.5,27,male,FALSE,8,131,3,0,139,95,15
14,10,0,male,FALSE,6,133,2,1,124,140,100
14.5,11,0,male,FALSE,8,133,2,0,81,145,110
16.5,6,0,female,FALSE,3,134,0,1,106,165,60
23,9.5,0,male,TRUE,5,135,3,0,101,230,95
16.5,10,0,female,TRUE,2,135,3,1,129,165,100
25.5,14.5,32,male,TRUE,8,136,4,0,98,255,145
24,9,36,female,TRUE,4,136,4,0,121,240,90
16.5,6.5,0,male,TRUE,5,136,5,1,135,165,65
17.7,4.1,33,male,FALSE,7,138,4,0,137,177,41
17.3,4.1,37,female,FALSE,2,138,4,1,104,173,41
17,5.5,33,male,TRUE,8,140,1,1,154,170,55
18,10,0,female,FALSE,2,141,5,1,103,180,100
18.5,10,0,female,FALSE,2,141,5,0,141,185,100
18,10.5,31,male,FALSE,7,141,5,0,88,180,105
18.5,9.5,30,male,FALSE,8,141,5,0,118,185,95
25.5,6,29,male,FALSE,6,142,5,0,144,255,60
23.5,9.5,29,male,FALSE,7,142,5,0,140,235,95
26,10,29,female,TRUE,1,142,5,0,111,260,100
23.5,13.5,27,female,TRUE,3,142,5,1,133,235,135
24.5,11.5,27,female,TRUE,3,142,5,0,120,245,115
24.5,9,32,male,FALSE,5,143,2,0,104,245,90
25.5,8.5,32,male,FALSE,6,143,2,0,95,255,85
24.5,9.5,31,male,TRUE,8,143,2,0,127,245,95
20,14,29,male,FALSE,5,143,2,1,108,200,140
22.5,12.5,30,male,FALSE,6,144,2,0,154,225,122
22,12.5,30,male,TRUE,7,144,2,1,124,220,122
24,13.5,42,female,TRUE,1,145,2,0,86,240,135
23.5,14.5,32,male,FALSE,7,145,2,0,155,235,145
20,10,42,female,TRUE,3,145,3,1,104,200,100
20,9,34,male,TRUE,7,145,5,0,151,200,90
16.5,9,46,male,FALSE,8,146,2,1,111,165,90
21.5,9.5,39,female,FALSE,2,146,2,0,80,215,95
17.5,11.5,46,female,TRUE,2,146,2,0,131,175,115
24,12,29,female,TRUE,2,147,0,1,154,240,120
18.5,5.5,33,male,FALSE,6,148,0,1,154,185,55
25.5,10.5,37,male,TRUE,8,152,0,1,154,255,105
26.5,6,23,male,FALSE,8,153,0,1,104,265,60
18,9.5,38,male,TRUE,7,154,2,0,99,180,95
8.5,1.5,45,male,TRUE,7,154,2,0,84,85,15
24.5,6.5,37,female,FALSE,2,154,2,0,107,245,65
16,19.5,30,male,FALSE,5,154,2,1,117,160,195
7,3.5,38,male,TRUE,8,154,4,0,155,70,35
15,10,33,male,FALSE,7,155,0,1,153,150,100
26,7,29,female,FALSE,2,156,2,0,85,260,70
26,6.5,22,female,TRUE,4,156,2,1,81,260,65
18,0.75,51,female,TRUE,3,157,0,1,150,180,7.5
15.5,9.5,39,male,TRUE,5,160,2,1,143,155,95
20,7,34,male,FALSE,8,160,2,0,134,200,70
14,6.5,0,male,TRUE,8,161,2,1,134,140,65
18,16,31,male,TRUE,8,161,2,0,86,180,160
14,11,37,male,FALSE,5,162,0,1,115,140,110
25,9,0,female,FALSE,2,164,5,0,89,250,90
15,18.5,31,male,FALSE,6,164,5,1,141,150,185
20.5,11,27,female,FALSE,3,164,5,0,94,205,110
15.5,18,29,male,FALSE,5,164,5,0,118,155,180
15.5,8.5,30,male,FALSE,8,165,2,1,156,155,85
26.5,8.5,31,male,TRUE,8,165,2,0,92,265,85
20.5,6.5,42,female,TRUE,4,166,0,1,95,205,65
25.5,12,32,male,FALSE,7,167,4,0,92,255,120
